gi|506924386|ref|NC_021251.1|;mycobacterium_tuberculosis_ccdc5079-a
gi|564200917|gb|AYNW01000001.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200905|gb|AYNW01000002.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200893|gb|AYNW01000003.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200880|gb|AYNW01000004.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200867|gb|AYNW01000005.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200847|gb|AYNW01000006.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200827|gb|AYNW01000007.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200818|gb|AYNW01000008.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200806|gb|AYNW01000009.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200793|gb|AYNW01000010.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200783|gb|AYNW01000011.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200771|gb|AYNW01000012.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200757|gb|AYNW01000013.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200745|gb|AYNW01000014.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200728|gb|AYNW01000015.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200708|gb|AYNW01000016.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200697|gb|AYNW01000017.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200676|gb|AYNW01000018.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200663|gb|AYNW01000019.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200652|gb|AYNW01000020.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200629|gb|AYNW01000021.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200610|gb|AYNW01000022.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200586|gb|AYNW01000023.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200569|gb|AYNW01000024.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200553|gb|AYNW01000025.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200539|gb|AYNW01000026.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200517|gb|AYNW01000027.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200508|gb|AYNW01000028.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200496|gb|AYNW01000029.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200471|gb|AYNW01000030.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200456|gb|AYNW01000031.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200450|gb|AYNW01000032.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200432|gb|AYNW01000033.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200423|gb|AYNW01000034.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
